Updated at,Company,Crunchbase Url,Last Valuation (Billion $),Date Joined,Year Joined,City,Country,Industry,Investors,Company Website
"6/1/2023, 2:12:23 AM",Adept,https://www.cbinsights.com/company/adept-3,1,3/14/2023,2023,San Francisco,United States,Artificial intelligence,"[""Greylock Partners"",""Addition"",""M12""]",
"6/1/2023, 2:12:23 AM",Atmosphere,https://www.cbinsights.com/company/atmosphere-1,1,2/7/2023,2023,Austin,United States,Other,"[""S3 Ventures""]",
"6/1/2023, 2:12:23 AM",Character.AI,https://www.cbinsights.com/company/characterai,1,3/3/2023,2023,Menlo Park,United States,Artificial intelligence,"[""Andreessen Horowitz""]",
"6/1/2023, 2:12:23 AM",MNT-Halan,https://www.cbinsights.com/company/halan,1,2/3/2023,2023,Cairo,Egypt,Fintech,"[""Middle East Venture Partners"",""Endeavor"",""Algebra Ventures""]",
"6/1/2023, 2:12:22 AM",DeepL,https://www.cbinsights.com/company/deepl,1,1/11/2023,2023,Cologne,Germany,Internet software & services,"[""Benchmark"",""btov Partners"",""Bessemer Venture Partners""]",
"6/1/2023, 2:12:22 AM",Avenue One,https://www.cbinsights.com/company/avenue-one,1,5/15/2023,2023,New York,United States,Internet software & services,"[""""]",
"6/1/2023, 2:12:21 AM",B&C Chemical,https://www.cbinsights.com/company/bokang-information,1.02,4/19/2023,2023,Pizhou,China,Other,"[""Suzhou International Development Venture Capital Holding"",""GP Capital""]",
"6/1/2023, 2:12:08 AM",Colossal,https://www.cbinsights.com/company/colossal,1.19,1/31/2023,2023,Austin,United States,Health,"[""Animal Capital"",""Breyer Capital"",""In-Q-Tel""]",
"6/1/2023, 2:12:01 AM",Our Next Energy,https://www.cbinsights.com/company/our-next-energy,1.2,2/1/2023,2023,Novi,United States,Other,"[""BMW i Ventures"",""Breakthrough Energy Ventures"",""Volta Energy Technologies""]",
"6/1/2023, 2:12:01 AM",Replit,https://www.cbinsights.com/company/neoreason,1.2,4/25/2023,2023,San Francisco,United States,Mobile & telecommunications,"[""Andreessen Horowitz"",""Bloomberg Beta"",""Reach Capital""]",
"6/1/2023, 2:11:43 AM",Liquidity,https://www.cbinsights.com/company/liquidity,1.4,2/20/2023,2023,Tel Aviv,Israel,Fintech,"[""MUFG Innovation Partners"",""Spark Capital""]",
"6/1/2023, 2:11:40 AM",Huasun,https://www.cbinsights.com/company/huasun-new-energy,1.46,1/19/2023,2023,Xuancheng,China,Other,"[""Hongtai Capital Holdings"",""Jintou Zhiyuan""]",
"6/1/2023, 2:11:28 AM",Runway,https://www.cbinsights.com/company/runwayml,1.5,5/4/2023,2023,New York,United States,Artificial intelligence,"[""\tLux Capital"",""Compound"",""Amplify Partners""]",
"6/1/2023, 2:11:13 AM",Kindbody,https://www.cbinsights.com/company/kindbody,1.8,3/2/2023,2023,Kindbody,United States,Health,"[""RRE Ventures"",""Google Ventures"",""Bramalea Partners""]",
"6/1/2023, 2:11:12 AM",Quantexa,https://www.cbinsights.com/company/quantexa,1.8,4/3/2023,2023,London,United Kingdom,Data management & analytics,"[""AlbionVC"",""Dawn Capital"",""HSBC Venture Capital""]",
"6/1/2023, 2:11:12 AM",Scroll,https://www.cbinsights.com/company/scroll-io,1.8,3/14/2023,2023,,Seychelles,Fintech,"[""OKX Ventures"",""Sequoia Capital China"",""IOSG""]",
"6/1/2023, 2:11:09 AM",ShiftKey,https://www.cbinsights.com/company/shiftkey,2,1/11/2023,2023,Dallas,United States,Health,"[""Health Velocity Capital""]",
"6/1/2023, 2:10:56 AM",Cohere,https://www.cbinsights.com/company/cohere-3,2,5/2/2023,2023,Toronto,Canada,Artificial intelligence,"[""Index Ventures"",""Salesforce Ventures"",""Section 32""]",
"6/1/2023, 2:10:56 AM",CoreWeave,https://www.cbinsights.com/company/coreweave,2.22,4/20/2023,2023,Roseland,United States,Internet software & services,"[""Magnetar Capital""]",
"6/1/2023, 2:10:19 AM",eToro,https://www.cbinsights.com/company/etoro,3.5,3/21/2023,2023,London,United Kingdom,Fintech,"[""BRM Group"",""Spark Capital"",""Social Leverage""]",
"6/1/2023, 2:10:03 AM",Anthropic,https://www.cbinsights.com/company/anthropic,4.4,2/3/2023,2023,San Francisco,United States,Artificial intelligence,"[""Google""]",
"6/1/2023, 2:13:03 AM",Esusu,https://www.cbinsights.com/company/esusu,1,1/27/2022	,2022	,New York,United States,Fintech,"[""Next Play Ventures"",""Zeal Capital Partners"",""SoftBank Group""]",
"6/1/2023, 2:13:03 AM",Minio,https://www.cbinsights.com/company/minio,1,1/26/2022	,2022	,Palo Alto,United States,Data management & analytics,"[""General Catalyst"",""Nexus Venture Partners"",""Dell Technologies Capital""]",
"6/1/2023, 2:13:03 AM",Darwinbox,https://www.cbinsights.com/company/darwinbox,1,1/25/2022	,2022	,Hyderabad,India,Internet software & services,"[""Lightspeed India Partners"",""Sequoia Capital India"",""Endiya Partners""]",
"6/1/2023, 2:13:02 AM",Pentera,https://www.cbinsights.com/company/pcysys,1,1/11/2022	,2022	,Petah Tikva,Israel,Cybersecurity ,"[""AWZ Ventures"",""Blackstone"",""Insight Partners""]",
"6/1/2023, 2:13:02 AM",Placer.ai,https://www.cbinsights.com/company/placerai,1,1/12/2022	,2022	,Los Altos,United States,Artificial intelligence,"[""Fifth Wall Ventures"",""JBV Capital"",""Array Ventures""]",
"6/1/2023, 2:12:18 AM",CAIS,https://www.cbinsights.com/company/cais,1.1,1/11/2022	,2022	,New York,United States,Fintech,"[""Franklin Templeton"",""Motive Partners. Apollo Global Management""]",
"6/1/2023, 2:12:17 AM",Chief,https://www.cbinsights.com/company/chief-1,1.1,3/31/2022	,2022	,New York,United States,Other,"[""General Catalyst"",""Inspired Capital"",""Flybridge Capital Partners""]",
"6/1/2023, 2:11:10 AM",Fever,https://www.cbinsights.com/company/fever-labs,1.96,1/26/2022	,2022	,New York,United States,Internet software & services,"[""Accel"",""14W"",""GS Growth""]",
"6/1/2023, 2:11:10 AM",Ankorstore,https://www.cbinsights.com/company/ankorstore,1.98,1/10/2022	,2022	,Paris,France,E-commerce & direct-to-consumer,"[""Global Founders Capital"",""Aglae Ventures"",""Alven Capital""]",
"6/1/2023, 2:13:11 AM",Unstoppable Domains,https://www.cbinsights.com/company/unstoppable-domains,1,7/27/2022,2022,Las Vegas,United States,Internet software & services,"[""Boost VC"",""Draper Associates"",""Gaingels""]",
"6/1/2023, 2:13:11 AM",SingleStore,https://www.cbinsights.com/company/memsql,1,7/12/2022,2022,San Francisco,United States,Data management & analytics,"[""Google Ventures"",""Accel"",""Data Collective""]",
"6/1/2023, 2:13:11 AM",VulcanForms,https://www.cbinsights.com/company/vulcanforms,1,7/5/2022,2022,Burlington,United States,"Supply chain, logistics, & delivery","[""Eclipse Ventures"",""D1 Capital Partners"",""Industry Ventures""]",
"6/1/2023, 2:13:10 AM",FourKites,https://www.cbinsights.com/company/fourkites,1,6/21/2022,2022,Chicago,United States,"Supply chain, logistics, & delivery","[""Hyde Park Venture Partners"",""Bain Capital Ventures"",""Hyde Park Angels""]",
"6/1/2023, 2:13:10 AM",LeadSquared,https://www.cbinsights.com/company/leadsquared,1,6/21/2022,2022,Bengaluru,India,Internet software & services,"[""Gaja Capital Partners"",""Stakeboat Capital"",""WestBridge Capital""]",
"6/1/2023, 2:13:10 AM",Vayyar,https://www.cbinsights.com/company/vayyar-imaging,1,6/6/2022,2022,Yehud,Israel,Hardware,"[""Battery Ventures"",""Bessemer Venture Partners"",""MoreVC""]",
"6/1/2023, 2:13:10 AM",JupiterOne,https://www.cbinsights.com/company/jupiterone,1,6/2/2022,2022,Morrisville,United States,Cybersecurity,"[""Bain Capital Ventures"",""Splunk Ventures"",""Cisco Investments""]",
"6/1/2023, 2:13:10 AM",Immuta,https://www.cbinsights.com/company/immuta,1,6/8/2022,2022,Boston,United States,Data management & analytics,"[""DFJ Growth Fund"",""Dell Technologies Capital"",""Ten Eleven Ventures""]",
"6/1/2023, 2:13:09 AM",CareBridge,https://www.cbinsights.com/company/carebridge,1,6/8/2022,2022,Nashville,United States,Health,"[""Bain Capital Ventures"",""Splunk Ventures"",""Cisco Investments""]",
"6/1/2023, 2:13:09 AM",Glean,https://www.cbinsights.com/company/glean-2,1,5/18/2022,2022,Palo Alto,United States,Internet software & services,"[""General Catalyst"",""Kleiner Perkins Caufield & Byers"",""Lightspeed Venture Partners""]",
"6/1/2023, 2:13:09 AM",Habi,https://www.cbinsights.com/company/habi,1,5/11/2022,2022,Bogota,Colombia,Fintech,"[""Homebrew"",""Inspired Capital"",""Tiger Global Management""]",
"6/1/2023, 2:13:09 AM",Remarkable,https://www.cbinsights.com/company/remarkable,1,5/10/2022,2022,Oslo,Norway,Internet software & services,"[""Spark Capital""]",
"6/1/2023, 2:13:09 AM",Opn,https://www.cbinsights.com/company/omise,1,5/9/2022,2022,Tokyo,Japan,Fintech,"[""Sinar Mas Digital Ventures"",""JIC Venture Growth Investments"",""Golden Gate Ventures""]",
"6/1/2023, 2:13:09 AM",Polarium,https://www.cbinsights.com/company/polarium,1,5/3/2022,2022,Kista,Sweden,Other,"[""AMF Pensionsforsakring""]",
